Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Time_alert
1721718780000,32.547000,32.573000,32.533000,32.573000,273.63,1721718839999,8905.78818000,91,48.37,1574.70468000,0,1721723245000
1721718840000,32.570000,32.570000,32.555000,32.555000,66.71,1721718899999,2171.84370000,27,45.12,1468.93420000,0,1721723245000
1721718900000,32.549000,32.642000,32.536000,32.642000,204.09,1721718959999,6650.33738000,79,161.37,5259.16489000,0,1721723245000
1721718960000,32.633000,32.677000,32.618000,32.674000,145.47,1721719019999,4749.30069000,75,119.52,3902.33571000,0,1721723245000
1721719020000,32.653000,32.685000,32.629000,32.685000,498.64,1721719079999,16281.33766000,273,325.84,10641.14305000,0,1721723245000
1721719080000,32.668000,32.715000,32.638000,32.677000,1837.01,1721719139999,60007.89719000,666,924.49,30205.43231000,0,1721723245000
1721719140000,32.674000,32.745000,32.670000,32.678000,548.33,1721719199999,17930.74150000,120,312.32,10218.84697000,0,1721723245000
1721719200000,32.668000,32.681000,32.634000,32.647000,157.79,1721719259999,5152.48185000,55,92.90,3033.47585000,0,1721723245000
1721719260000,32.649000,32.673000,32.619000,32.620000,292.43,1721719319999,9546.66183000,69,196.35,6411.01786000,0,1721723245000
1721719320000,32.617000,32.673000,32.617000,32.647000,136.21,1721719379999,4448.40331000,44,114.98,3755.12923000,0,1721723245000
1721719380000,32.642000,32.643000,32.560000,32.566000,248.87,1721719439999,8110.55907000,88,42.75,1393.78599000,0,1721723245000
1721719440000,32.573000,32.601000,32.569000,32.590000,167.35,1721719499999,5453.85000000,58,61.61,2007.69134000,0,1721723245000
1721719500000,32.578000,32.588000,32.568000,32.588000,70.17,1721719559999,2286.55252000,14,23.43,763.49491000,0,1721723245000
1721719560000,32.587000,32.587000,32.533000,32.555000,267.43,1721719619999,8705.66232000,68,16.52,537.82885000,0,1721723245000
1721719620000,32.539000,32.539000,32.489000,32.516000,428.94,1721719679999,13945.96549000,96,53.93,1753.39449000,0,1721723245000
1721719680000,32.493000,32.494000,32.444000,32.463000,268.64,1721719739999,8720.47856000,75,66.82,2169.36396000,0,1721723245000
1721719740000,32.459000,32.489000,32.458000,32.477000,139.74,1721719799999,4537.98467000,42,94.90,3081.49844000,0,1721723245000
1721719800000,32.476000,32.499000,32.423000,32.441000,457.95,1721719859999,14862.90114000,109,285.68,9273.65266000,0,1721723245000
1721719860000,32.435000,32.470000,32.435000,32.470000,246.50,1721719919999,8000.03225000,69,201.26,6531.64715000,0,1721723245000
1721719920000,32.463000,32.518000,32.463000,32.504000,433.68,1721719979999,14091.02690000,100,312.09,10140.39664000,0,1721723245000
